=== 分配関数の偶奇セクター分解 ===
  M=2, K1=0.400000000000000, K2=0.800000000000000, N_row=1: セクター和 rel=1.34e-16, 4項展開 rel=0.00e+00, 対称化 rel=2.80e-16  -> PASS
  M=2, K1=0.400000000000000, K2=0.800000000000000, N_row=2: セクター和 rel=0.00e+00, 4項展開 rel=0.00e+00, 対称化 rel=1.96e-16  -> PASS
  M=2, K1=0.400000000000000, K2=0.800000000000000, N_row=3: セクター和 rel=0.00e+00, 4項展開 rel=1.58e-16, 対称化 rel=0.00e-13  -> PASS
  M=2, K1=0.700000000000000, K2=0.300000000000000, N_row=1: セクター和 rel=2.27e-16, 4項展開 rel=1.13e-16, 対称化 rel=0.00e-13  -> PASS
  M=2, K1=0.700000000000000, K2=0.300000000000000, N_row=2: セクター和 rel=3.34e-16, 4項展開 rel=3.34e-16, 対称化 rel=1.41e-16  -> PASS
  M=2, K1=0.700000000000000, K2=0.300000000000000, N_row=3: セクター和 rel=3.96e-16, 4項展開 rel=3.96e-16, 対称化 rel=0.00e-13  -> PASS
  M=3, K1=0.400000000000000, K2=0.800000000000000, N_row=1: セクター和 rel=1.21e-16, 4項展開 rel=2.42e-16, 対称化 rel=1.22e-16  -> PASS
  M=3, K1=0.400000000000000, K2=0.800000000000000, N_row=2: セクター和 rel=5.73e-16, 4項展開 rel=5.73e-16, 対称化 rel=4.46e-16  -> PASS
  M=3, K1=0.400000000000000, K2=0.800000000000000, N_row=3: セクター和 rel=9.21e-16, 4項展開 rel=9.21e-16, 対称化 rel=5.62e-16  -> PASS
  M=3, K1=0.700000000000000, K2=0.300000000000000, N_row=1: セクター和 rel=4.49e-16, 4項展開 rel=4.49e-16, 対称化 rel=3.58e-16  -> PASS
  M=3, K1=0.700000000000000, K2=0.300000000000000, N_row=2: セクター和 rel=1.07e-15, 4項展開 rel=9.47e-16, 対称化 rel=6.82e-16  -> PASS
  M=3, K1=0.700000000000000, K2=0.300000000000000, N_row=3: セクター和 rel=1.81e-15, 4項展開 rel=1.65e-15, 対称化 rel=1.48e-15  -> PASS
  M=3, K1=0.250000000000000, K2=1.10000000000000, N_row=1: セクター和 rel=1.18e-16, 4項展開 rel=1.18e-16, 対称化 rel=2.36e-16  -> PASS
  M=3, K1=0.250000000000000, K2=1.10000000000000, N_row=2: セクター和 rel=0.00e+00, 4項展開 rel=0.00e+00, 対称化 rel=0.00e-13  -> PASS
  M=3, K1=0.250000000000000, K2=1.10000000000000, N_row=3: セクター和 rel=0.00e+00, 4項展開 rel=0.00e+00, 対称化 rel=2.48e-16  -> PASS
  M=4, K1=0.400000000000000, K2=0.800000000000000, N_row=1: セクター和 rel=0.00e+00, 4項展開 rel=2.08e-16, 対称化 rel=2.08e-16  -> PASS
  M=4, K1=0.400000000000000, K2=0.800000000000000, N_row=2: セクター和 rel=5.49e-16, 4項展開 rel=5.49e-16, 対称化 rel=1.85e-16  -> PASS
  M=4, K1=0.400000000000000, K2=0.800000000000000, N_row=3: セクター和 rel=2.16e-16, 4項展開 rel=2.16e-16, 対称化 rel=4.44e-16  -> PASS
  M=4, K1=0.700000000000000, K2=0.300000000000000, N_row=1: セクター和 rel=5.71e-16, 4項展開 rel=5.71e-16, 対称化 rel=3.49e-16  -> PASS
  M=4, K1=0.700000000000000, K2=0.300000000000000, N_row=2: セクター和 rel=1.81e-15, 4項展開 rel=1.93e-15, 対称化 rel=3.80e-16  -> PASS
  M=4, K1=0.700000000000000, K2=0.300000000000000, N_row=3: セクター和 rel=2.12e-15, 4項展開 rel=2.37e-15, 対称化 rel=4.17e-16  -> PASS
RESULT: PASS
