=== Z の直接和 vs tr((V_1V_2)^{N_row}) ===
  N_row=2, M=2, K1=0.400000000000000, K2=0.800000000000000: Z=2.61347152e+02, 成分定義 rel=4.35e-16, パウリ表示 rel=4.35e-16 （N_row = M なので取り違えても一致） -> PASS
  N_row=2, M=2, K1=0.700000000000000, K2=0.300000000000000: Z=1.27542789e+02, 成分定義 rel=2.23e-16, パウリ表示 rel=1.11e-16 （N_row = M なので取り違えても一致） -> PASS
  N_row=3, M=2, K1=0.400000000000000, K2=0.800000000000000: Z=2.87983619e+03, 成分定義 rel=3.16e-16, パウリ表示 rel=3.16e-16 （取り違えは不一致: rel=1.01e-01） -> PASS
  N_row=3, M=2, K1=0.700000000000000, K2=0.300000000000000: Z=1.14906894e+03, 成分定義 rel=9.89e-16, パウリ表示 rel=9.89e-16 （取り違えは不一致: rel=1.64e-01） -> PASS
  N_row=2, M=3, K1=0.400000000000000, K2=0.800000000000000: Z=3.17211922e+03, 成分定義 rel=2.87e-16, パウリ表示 rel=2.87e-16 （取り違えは不一致: rel=9.21e-02） -> PASS
  N_row=2, M=3, K1=0.700000000000000, K2=0.300000000000000: Z=9.60490596e+02, 成分定義 rel=1.07e-15, パウリ表示 rel=9.47e-16 （取り違えは不一致: rel=1.96e-01） -> PASS
  N_row=3, M=3, K1=0.400000000000000, K2=0.800000000000000: Z=1.10601201e+05, 成分定義 rel=1.18e-15, パウリ表示 rel=1.05e-15 （N_row = M なので取り違えても一致） -> PASS
  N_row=3, M=3, K1=0.700000000000000, K2=0.300000000000000: Z=2.21069312e+04, 成分定義 rel=1.15e-15, パウリ表示 rel=9.87e-16 （N_row = M なので取り違えても一致） -> PASS
  N_row=2, M=4, K1=0.400000000000000, K2=0.800000000000000: Z=3.97604717e+04, 成分定義 rel=1.65e-15, パウリ表示 rel=2.01e-15 （取り違えは不一致: rel=1.82e-01） -> PASS
  N_row=2, M=4, K1=0.700000000000000, K2=0.300000000000000: Z=7.54474154e+03, 成分定義 rel=3.62e-16, パウリ表示 rel=3.62e-16 （取り違えは不一致: rel=4.40e-01） -> PASS
RESULT: PASS
