=== c_plus_le_c: c_+(M_col) <= c(M_col) ===
  M=2, K1=0.4, K2=0.48385917: c=7.36809498472, c_+(固有値)=7.36809498472, c_+(冪乗法, 9 回)=7.36809498472, 一致 1.2e-16, x^(+) の商=6.0282, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=2, K1=0.44068679, K2=0.44068679: c=7.46410161514, c_+(固有値)=7.46410161514, c_+(冪乗法, 8 回)=7.46410161514, 一致 0.0e+00, x^(+) の商=6, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=2, K1=0.44, K2=0.4413747: c=7.46187259206, c_+(固有値)=7.46187259206, c_+(冪乗法, 8 回)=7.46187259206, 一致 2.4e-16, x^(+) の商=6.00001, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=2, K1=0.4, K2=0.8: c=11.8903016805, c_+(固有値)=11.8903016805, c_+(冪乗法, 10 回)=11.8903016805, 一致 3.0e-16, x^(+) の商=8.89438, c_+/c=0.999999999999999, 違反 0  -> PASS
  M=2, K1=1.2, K2=0.3: c=26.2885967924, c_+(固有値)=26.2885967924, c_+(冪乗法, 4 回)=26.2885967924, 一致 2.7e-16, x^(+) の商=15.1751, c_+/c=0.999999999999999, 違反 0  -> PASS
  M=2, K1=0.05, K2=0.1: c=4.0607556673, c_+(固有値)=4.0607556673, c_+(冪乗法, 5 回)=4.0607556673, 一致 4.4e-16, x^(+) の商=4.05034, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=3, K1=0.4, K2=0.48385917: c=17.7957194105, c_+(固有値)=17.7957194105, c_+(冪乗法, 12 回)=17.7957194105, 一致 2.0e-16, x^(+) の商=13.2635, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=3, K1=0.44068679, K2=0.44068679: c=17.8770543023, c_+(固有値)=17.8770543023, c_+(冪乗法, 11 回)=17.8770543023, 一致 0.0e+00, x^(+) の商=12.9497, c_+/c=0.999999999999999, 違反 0  -> PASS
  M=3, K1=0.44, K2=0.4413747: c=17.8735786623, c_+(固有値)=17.8735786623, c_+(冪乗法, 10 回)=17.8735786623, 一致 6.0e-16, x^(+) の商=12.9535, c_+/c=0.999999999999999, 違反 0  -> PASS
  M=3, K1=0.4, K2=0.8: c=38.630586858, c_+(固有値)=38.630586858, c_+(冪乗法, 12 回)=38.630586858, 一致 1.8e-16, x^(+) の商=23.4874, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=3, K1=1.2, K2=0.3: c=106.284555052, c_+(固有値)=106.284555052, c_+(冪乗法, 5 回)=106.284555052, 一致 5.3e-16, x^(+) の商=38.2282, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=3, K1=0.05, K2=0.1: c=8.15289111218, c_+(固有値)=8.15289111218, c_+(冪乗法, 5 回)=8.15289111218, 一致 2.2e-16, x^(+) の商=8.13635, c_+/c=1.000000000000001, 違反 0  -> PASS
  M=4, K1=0.4, K2=0.48385917: c=44.1722921883, c_+(固有値)=44.1722921883, c_+(冪乗法, 16 回)=44.1722921883, 一致 0.0e+00, x^(+) の商=30.6152, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=4, K1=0.44068679, K2=0.44068679: c=44.1298561724, c_+(固有値)=44.1298561724, c_+(冪乗法, 13 回)=44.1298561724, 一致 4.8e-16, x^(+) の商=29.4853, c_+/c=0.999999999999999, 違反 0  -> PASS
  M=4, K1=0.44, K2=0.4413747: c=44.1238466737, c_+(固有値)=44.1238466737, c_+(冪乗法, 13 回)=44.1238466737, 一致 9.7e-16, x^(+) の商=29.4998, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=4, K1=0.4, K2=0.8: c=128.146779287, c_+(固有値)=128.146779287, c_+(冪乗法, 15 回)=128.146779287, 一致 6.7e-16, x^(+) の商=65.0377, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=4, K1=1.2, K2=0.3: c=448.569946781, c_+(固有値)=448.569946781, c_+(冪乗法, 6 回)=448.569946781, 一致 1.3e-16, x^(+) の商=103.929, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=4, K1=0.05, K2=0.1: c=16.406224632, c_+(固有値)=16.406224632, c_+(冪乗法, 6 回)=16.406224632, 一致 2.2e-16, x^(+) の商=16.364, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=5, K1=0.4, K2=0.48385917: c=110.746411475, c_+(固有値)=110.746411475, c_+(冪乗法, 16 回)=110.746411475, 一致 1.4e-15, x^(+) の商=71.5557, c_+/c=1.000000000000001, 違反 0  -> PASS
  M=5, K1=0.44068679, K2=0.44068679: c=110.192320637, c_+(固有値)=110.192320637, c_+(冪乗法, 16 回)=110.192320637, 一致 7.7e-16, x^(+) の商=68.1378, c_+/c=0.999999999999999, 違反 0  -> PASS
  M=5, K1=0.44, K2=0.4413747: c=110.180945329, c_+(固有値)=110.180945329, c_+(冪乗法, 16 回)=110.180945329, 一致 0.0e+00, x^(+) の商=68.1821, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=5, K1=0.4, K2=0.8: c=428.01690547, c_+(固有値)=428.01690547, c_+(冪乗法, 18 回)=428.01690547, 一致 9.3e-16, x^(+) の商=182.854, c_+/c=1.000000000000001, 違反 0  -> PASS
  M=5, K1=1.2, K2=0.3: c=1943.50647213, c_+(固有値)=1943.50647213, c_+(冪乗法, 6 回)=1943.50647213, 一致 1.2e-16, x^(+) の商=294.483, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=5, K1=0.05, K2=0.1: c=33.018488014, c_+(固有値)=33.018488014, c_+(冪乗法, 6 回)=33.018488014, 一致 8.6e-16, x^(+) の商=32.9124, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=6, K1=0.4, K2=0.48385917: c=278.927076443, c_+(固有値)=278.927076443, c_+(冪乗法, 19 回)=278.927076443, 一致 1.8e-15, x^(+) の商=167.817, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=6, K1=0.44068679, K2=0.44068679: c=276.59991732, c_+(固有値)=276.59991732, c_+(冪乗法, 17 回)=276.59991732, 一致 4.1e-16, x^(+) の商=158.14, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=6, K1=0.44, K2=0.4413747: c=276.577089231, c_+(固有値)=276.577089231, c_+(冪乗法, 16 回)=276.577089231, 一致 4.1e-16, x^(+) の商=158.265, c_+/c=1.000000000000000, 違反 0  -> PASS
  M=6, K1=0.4, K2=0.8: c=1433.51227201, c_+(固有値)=1433.51227201, c_+(冪乗法, 18 回)=1433.51227201, 一致 0.0e+00, x^(+) の商=516.647, c_+/c=0.999999999999999, 違反 0  -> PASS
  M=6, K1=1.2, K2=0.3: c=8551.95134815, c_+(固有値)=8551.95134815, c_+(冪乗法, 7 回)=8551.95134815, 一致 4.3e-16, x^(+) の商=854.749, c_+/c=0.999999999999999, 違反 0  -> PASS
  M=6, K1=0.05, K2=0.1: c=66.4520573649, c_+(固有値)=66.4520573649, c_+(冪乗法, 6 回)=66.4520573649, 一致 2.1e-16, x^(+) の商=66.196, c_+/c=1.000000000000000, 違反 0  -> PASS
  c_+ の二通りの計算・前提の最大相対残差: 1.834e-15（許容 1.00000000000000e-9）
  不等号の違反件数: 0
RESULT: PASS
