  M_col=1, K_1=0.05: 相対誤差 0.00e+00 -> PASS
  M_col=1, K_1=0.4: 相対誤差 0.00e+00 -> PASS
  M_col=1, K_1=0.4406868: 相対誤差 0.00e+00 -> PASS
  M_col=1, K_1=0.7: 相対誤差 0.00e+00 -> PASS
  M_col=1, K_1=1.3: 相対誤差 0.00e+00 -> PASS
  M_col=2, K_1=0.05: 相対誤差 0.00e+00 -> PASS
  M_col=2, K_1=0.4: 相対誤差 0.00e+00 -> PASS
  M_col=2, K_1=0.4406868: 相対誤差 0.00e+00 -> PASS
  M_col=2, K_1=0.7: 相対誤差 0.00e+00 -> PASS
  M_col=2, K_1=1.3: 相対誤差 0.00e+00 -> PASS
  M_col=3, K_1=0.05: 相対誤差 0.00e+00 -> PASS
  M_col=3, K_1=0.4: 相対誤差 0.00e+00 -> PASS
  M_col=3, K_1=0.4406868: 相対誤差 0.00e+00 -> PASS
  M_col=3, K_1=0.7: 相対誤差 0.00e+00 -> PASS
  M_col=3, K_1=1.3: 相対誤差 0.00e+00 -> PASS
  M_col=4, K_1=0.05: 相対誤差 0.00e+00 -> PASS
  M_col=4, K_1=0.4: 相対誤差 0.00e+00 -> PASS
  M_col=4, K_1=0.4406868: 相対誤差 0.00e+00 -> PASS
  M_col=4, K_1=0.7: 相対誤差 0.00e+00 -> PASS
  M_col=4, K_1=1.3: 相対誤差 0.00e+00 -> PASS
  M_col=5, K_1=0.05: 相対誤差 0.00e+00 -> PASS
  M_col=5, K_1=0.4: 相対誤差 0.00e+00 -> PASS
  M_col=5, K_1=0.4406868: 相対誤差 0.00e+00 -> PASS
  M_col=5, K_1=0.7: 相対誤差 0.00e+00 -> PASS
  M_col=5, K_1=1.3: 相対誤差 0.00e+00 -> PASS
  M_col=6, K_1=0.05: 相対誤差 0.00e+00 -> PASS
  M_col=6, K_1=0.4: 相対誤差 0.00e+00 -> PASS
  M_col=6, K_1=0.4406868: 相対誤差 0.00e+00 -> PASS
  M_col=6, K_1=0.7: 相対誤差 0.00e+00 -> PASS
  M_col=6, K_1=1.3: 相対誤差 0.00e+00 -> PASS
RESULT: PASS
