  M_col=1, K_2=0.05: 相対誤差 1.06e-16 -> PASS
  M_col=1, K_2=0.3: 相対誤差 1.64e-16 -> PASS
  M_col=1, K_2=0.4406868: 相対誤差 1.43e-16 -> PASS
  M_col=1, K_2=0.8: 相対誤差 2.00e-16 -> PASS
  M_col=1, K_2=1.1: 相対誤差 1.48e-16 -> PASS
  M_col=2, K_2=0.05: 相対誤差 4.02e-16 -> PASS
  M_col=2, K_2=0.3: 相対誤差 3.05e-16 -> PASS
  M_col=2, K_2=0.4406868: 相対誤差 1.84e-16 -> PASS
  M_col=2, K_2=0.8: 相対誤差 3.59e-16 -> PASS
  M_col=2, K_2=1.1: 相対誤差 2.46e-17 -> PASS
  M_col=3, K_2=0.05: 相対誤差 7.64e-16 -> PASS
  M_col=3, K_2=0.3: 相対誤差 2.71e-16 -> PASS
  M_col=3, K_2=0.4406868: 相対誤差 3.55e-16 -> PASS
  M_col=3, K_2=0.8: 相対誤差 6.45e-16 -> PASS
  M_col=3, K_2=1.1: 相対誤差 3.28e-17 -> PASS
  M_col=4, K_2=0.05: 相対誤差 1.18e-15 -> PASS
  M_col=4, K_2=0.3: 相対誤差 2.68e-16 -> PASS
  M_col=4, K_2=0.4406868: 相対誤差 4.57e-16 -> PASS
  M_col=4, K_2=0.8: 相対誤差 7.24e-16 -> PASS
  M_col=4, K_2=1.1: 相対誤差 1.74e-16 -> PASS
  M_col=5, K_2=0.05: 相対誤差 3.11e-15 -> PASS
  M_col=5, K_2=0.3: 相対誤差 6.94e-16 -> PASS
  M_col=5, K_2=0.4406868: 相対誤差 5.88e-16 -> PASS
  M_col=5, K_2=0.8: 相対誤差 6.51e-16 -> PASS
  M_col=5, K_2=1.1: 相対誤差 3.48e-16 -> PASS
  M_col=6, K_2=0.05: 相対誤差 1.64e-15 -> PASS
  M_col=6, K_2=0.3: 相対誤差 7.34e-16 -> PASS
  M_col=6, K_2=0.4406868: 相対誤差 7.57e-16 -> PASS
  M_col=6, K_2=0.8: 相対誤差 1.40e-15 -> PASS
  M_col=6, K_2=1.1: 相対誤差 7.73e-17 -> PASS
RESULT: PASS
