p q n  case            ord2(kappa_n)  closed  match
1 1 1  Aalpha                5      5  OK
1 1 2  Aalpha               19     19  OK
1 1 3  Aalpha               61     61  OK
1 1 4  Aalpha              167    167  OK
1 3 1  Abeta(lam0=2)         6      6  OK
1 3 2  Abeta(lam0=2)        24     24  OK
1 3 3  Abeta(lam0=2)        70     70  OK
1 3 4  Abeta(lam0=2)       180    180  OK
1 2 1  B(lam1=1)[n=1 exception]      5      5  OK
1 2 2  Bsat(w=1)            21     21  OK
1 2 3  Bsat(w=1)            55     55  OK
1 2 4  Bsat(w=1)           137    137  OK
1 4 1  B(lam1=2)             6      6  OK
1 4 2  B(lam1=2)            22     22  OK
1 4 3  B(lam1=2)            62     62  OK
1 4 4  B(lam1=2)           158    158  OK
3 5 1  Abeta(lam0=3)         7      7  OK
3 5 2  Abeta(lam0=3)        29     29  OK
3 5 3  Abeta(lam0=3)        83     83  OK
3 5 4  Abeta(lam0=3)       209    209  OK
2 6 1  Abeta(lam0=2)         9      9  OK
2 6 2  Abeta(lam0=2)        39     39  OK
2 6 3  Abeta(lam0=2)       133    133  OK
2 6 4  Abeta(lam0=2)       435    435  OK
3 4 1  B(lam1=2)             6      6  OK
3 4 2  B(lam1=2)            22     22  OK
3 4 3  B(lam1=2)            62     62  OK
3 4 4  B(lam1=2)           158    158  OK
1 5 1  Aalpha                5      5  OK
1 5 2  Aalpha               19     19  OK
1 5 3  Aalpha               61     61  OK
1 5 4  Aalpha              167    167  OK
5 7 1  Abeta(lam0=2)         6      6  OK
5 7 2  Abeta(lam0=2)        24     24  OK
5 7 3  Abeta(lam0=2)        70     70  OK
5 7 4  Abeta(lam0=2)       180    180  OK
2 3 1  B(lam1=1)[n=1 exception]      5      5  OK
2 3 2  Bsat(w=2)            23     23  OK
2 3 3  Bsat(w=2)            57     57  OK
2 3 4  Bsat(w=2)           139    139  OK
4 6 1  B(lam1=1)[n=1 exception]      8      8  OK
4 6 2  Bsat(w=2)            38     38  OK
4 6 3  Bsat(w=2)           120    120  OK
4 6 4  Bsat(w=2)           394    394  OK
1 6 1  B(lam1=1)[n=1 exception]      5      5  OK
1 6 2  Bsat(w=2)            23     23  OK
1 6 3  Bsat(w=2)            57     57  OK
1 6 4  Bsat(w=2)           139    139  OK
checked=48 FAIL=0
